Land;Gewässer;Station;Abholdatum / Uhrzeit;Messdatum / Uhrzeit;Durchfluss;Einheit Durchfluss;Pegel;Einheit Pegel;Temperatur;Einheit Temperatur;PH-Wert;Einheit PH-Wert;PH-Gehalt stromaufwärts;Einheit PH-Wert;Kalkgehalt;Einheit Kalkgehalt;Silikatgehalt;Einheit Silikatgehalt
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:10:04;12.08.21 16:09:24;55.1;m³/s;217.9;cm;17.5;°C;6.65;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:10:04;12.08.21 16:09:24;47.9;m³/s;;;16.2;°C;6.26;pH;6.17;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:10:04;12.08.21 16:06:28;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:10:04;12.08.21 16:08:51;11.2;m³/s;;;;;6.25;pH;5.97;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:15:04;12.08.21 16:14:25;55.1;m³/s;217.9;cm;17.5;°C;6.47;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:15:04;12.08.21 16:14:24;48.3;m³/s;;;16.1;°C;6.28;pH;6.16;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:15:04;12.08.21 16:06:29;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:15:04;12.08.21 16:13:51;11.2;m³/s;;;;;6.25;pH;5.97;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:20:04;12.08.21 16:19:24;54.9;m³/s;217.5;cm;17.5;°C;6.52;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:20:04;12.08.21 16:19:23;48.3;m³/s;;;16.1;°C;6.27;pH;6.16;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:20:04;12.08.21 16:06:28;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:20:04;12.08.21 16:18:51;11.2;m³/s;;;;;6.25;pH;5.97;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:25:04;12.08.21 16:24:25;54.9;m³/s;217.5;cm;17.5;°C;6.64;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:25:04;12.08.21 16:24:23;48.3;m³/s;;;16.2;°C;6.27;pH;6.16;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:25:04;12.08.21 16:06:29;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:25:04;12.08.21 16:23:51;11.2;m³/s;;;;;6.26;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:30:04;12.08.21 16:29:24;54.9;m³/s;217.5;cm;17.6;°C;6.63;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:30:04;12.08.21 16:29:23;48.8;m³/s;;;16.2;°C;6.27;pH;6.15;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:30:04;12.08.21 16:26:33;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:30:04;12.08.21 16:28:51;11.1;m³/s;;;;;6.26;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:35:06;12.08.21 16:34:25;54.9;m³/s;217.5;cm;17.6;°C;6.59;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:35:06;12.08.21 16:34:24;48.8;m³/s;;;16.1;°C;6.26;pH;6.16;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:35:06;12.08.21 16:26:34;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:35:06;12.08.21 16:33:51;11.2;m³/s;;;;;6.26;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:40:04;12.08.21 16:39:25;54.9;m³/s;217.5;cm;17.6;°C;6.67;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:40:04;12.08.21 16:39:24;49.3;m³/s;;;16.2;°C;6.28;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:40:04;12.08.21 16:26:33;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:40:04;12.08.21 16:38:51;11.1;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:45:04;12.08.21 16:44:25;54.9;m³/s;217.5;cm;17.6;°C;6.63;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:45:04;12.08.21 16:44:24;49.3;m³/s;;;16.1;°C;6.26;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:45:04;12.08.21 16:26:34;29.5;m³/s;;;;;;;5.79;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:45:04;12.08.21 16:43:51;11.2;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:50:05;12.08.21 16:49:25;54.9;m³/s;217.5;cm;17.6;°C;6.64;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:50:05;12.08.21 16:49:23;49.3;m³/s;;;16.2;°C;6.26;pH;6.16;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:50:05;12.08.21 16:46:35;29.5;m³/s;;;;;;;5.8;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:50:05;12.08.21 16:48:52;11.1;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 16:55:06;12.08.21 16:54:25;54.9;m³/s;217.5;cm;17.7;°C;6.69;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 16:55:06;12.08.21 16:54:23;49.3;m³/s;;;16.1;°C;6.27;pH;6.16;pH;35.2;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 16:55:06;12.08.21 16:46:35;29.5;m³/s;;;;;;;5.8;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 16:55:06;12.08.21 16:53:51;11.1;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:00:06;12.08.21 16:59:24;54.8;m³/s;217.1;cm;17.7;°C;6.66;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:00:06;12.08.21 16:59:24;49.3;m³/s;;;16.2;°C;6.25;pH;6.17;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:00:06;12.08.21 16:46:34;29.5;m³/s;;;;;;;5.8;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:00:06;12.08.21 16:58:51;11.1;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
Norway;Mandalselva;Kjølemo Målepunkt;12.08.2021 17:05:05;12.08.21 17:04:25;54.8;m³/s;217.1;cm;17.7;°C;6.73;pH;;;;;;
Norway;Mandalselva;Bjelland Kalkdoseringsanlegg;12.08.2021 17:05:05;12.08.21 17:04:24;49.3;m³/s;;;16.1;°C;6.26;pH;6.15;pH;35.3;tonn;;
Norway;Mandalselva;Håverstad Kalkdoseringsanlegg;12.08.2021 17:05:05;12.08.21 16:46:35;29.5;m³/s;;;;;;;5.8;pH;51.3;tonn;;
Norway;Mandalselva;Skjerka Kalkdoseringsanlegg;12.08.2021 17:05:05;12.08.21 17:04:52;11.1;m³/s;;;;;6.25;pH;5.98;pH;20.7;m³;;
